	segment	centroid	normalized
0	E_SuN_0_1_1	1027.32	1.0190251353978614
1	E_SuN_0_1_2	1041.37	1.0329616918285158
2	E_SuN_0_1_3	1018.76	1.0105342511952704
3	E_SuN_0_2_1	1042.7	1.0342809530422363
4	E_SuN_0_2_2	1041.15	1.0327434681691037
5	E_SuN_0_2_3	1039.38	1.0309877596365586
6	E_SuN_0_3_1	1012.19	1.0040172991846372
7	E_SuN_0_3_2	1020.74	1.012498264129982
8	E_SuN_0_3_3	1034.01	1.0256611184954472
9	E_SuN_0_4_1	1018.81	1.0105838474815005
10	E_SuN_0_4_2	996.71	0.9886622889678022
11	E_SuN_0_4_3	1018.42	1.010196996448906
12	E_SuN_1_1_1	1009.13	1.0009820064673558
13	E_SuN_1_1_2	1006.57	0.9984426766123753
14	E_SuN_1_1_3	988.346	0.9803658222072331
15	E_SuN_1_2_1	1003.59	0.9954867379530621
16	E_SuN_1_2_2	1008.14	1.0
17	E_SuN_1_2_3	1003.32	0.9952189180074197
18	E_SuN_1_3_1	1005.68	0.9975598627174797
19	E_SuN_1_3_2	1006.22	0.9980955026087647
20	E_SuN_1_3_3	990.378	0.982381415279624
21	E_SuN_1_4_1	991.107	0.9831045291328585
22	E_SuN_1_4_2	977.804	0.9699089412184816
23	E_SuN_1_4_3	972.109	0.9642599242168747
